식품명,칼로리,단백질,지방,탄수화물
김밥,140,4.84,4.55,19.98
비빔밥,142,6.86,4.32,18.84
알밥,128,4.73,5.11,15.75
잡곡밥,146,5.3,0.87,29.33
꿀떡,228,3.74,1.73,49.48
약식,220,4.21,2.45,45.24
라면,82,1.72,2.28,13.65
수제비,58,2.31,0.52,11.08
짬뽕,58,2.79,1.54,8.26
쫄면,129,3.21,2.52,23.26
칼국수,77,3.3,0.49,14.9
콩국수,81,3.9,3.35,8.92
전복죽,79,1.82,3.73,9.62
호박죽,49,1.93,1.71,6.58
갈비탕,54,8.51,2.06,0.4
미역국,12,0.65,0.61,0.87
삼계탕,101,10.68,4.8,3.84
육개장,30,3.68,0.99,1.49
콩나물국,6,0.74,0.09,0.61
감자탕,71,6.31,4.06,2.27
동태찌개,44,6.11,1.37,1.72
된장찌개,46,3.38,1.63,4.44
추어탕,54,3.24,3.18,3.07
꼬막찜,96,12.03,2.28,6.97
순대,187,2.75,3.64,35.73
족발,233,26.04,13.91,0.93
떡갈비,202,21.38,11.82,2.46
조기구이,177,19.33,10.86,0.44
감자전,133,1.72,6.54,16.79
김치전,134,5.05,4.2,19.01
건새우볶음,304,41.55,12.95,5.4
떡볶이,144,3.51,2.96,25.96
라볶이,134,2.83,4.71,20.14
멸치볶음,276,39.44,7.08,13.62
미역줄기볶음,77,0.96,5.95,4.85
애호박볶음,59,1.32,3.62,5.3
어묵볶음,197,8.41,7.29,24.33
잡채,146,4.71,3.3,24.26
감자조림,114,2.4,3.52,18.1
고등어조림,141,11.25,8.84,4.1
꽁치조림,244,15.52,17.87,5.14
닭볶음탕,111,11.91,3.22,8.52
두부조림,143,9.64,9.66,4.4
땅콩조림,483,18.75,36.4,19.95
연근조림,174,2.68,5.1,29.42
우엉조림,188,4.8,3.33,34.8
코다리조림,86,16.46,0.4,4.16
숙주나물,35,2.22,1.58,2.96
시금치나물,69,3.74,4.46,3.36
콩나물무침,69,3.86,4.54,3.2
무생채,49,2.43,1.11,7.33
회무침,82,8.09,1.65,8.6
깍두기,33,1.56,1.06,4.24
나박김치,10,0.46,0.38,1.15
부추김치,47,2.68,1.16,6.36
육회,130,9.93,6.43,8.12
비빔밥,142,4.47,3.81,22.5
약식,220,4.44,2.32,45.43
약과,399,4.2,4.75,84.89
콩국수,100,4.61,3.83,11.69
김치찌개,61,3.77,3.75,2.98
추어탕,32,2.27,1.32,2.68
순대,181,6.52,8.55,19.45
족발,220,28.91,11.65,0.0
해물찜,80,8.52,1.96,7.08
더덕구이,184,3.1,5.2,31.1
황태구이,219,23.9,7.7,13.45
훈제오리,319,17.22,25.63,4.83
훈제오리,259,26.85,15.16,3.86
파전,195,4.56,9.35,23.2
호박전,139,4.32,8.73,10.73
두부김치,115,7.79,6.85,5.63
미역줄기볶음,89,1.03,7.84,3.65
오징어채볶음,275,22.04,7.57,29.77
주꾸미볶음,106,9.16,2.6,11.41
고등어조림,108,8.36,6.07,4.9
연근조림,261,2.1,1.3,60.2
고추튀김,202,7.6,12.6,14.6
물회,76,4.91,2.7,7.9
홍어무침,99,8.93,1.32,12.98
갓김치,37,3.26,0.4,7.07
깍두기,40,1.36,0.21,8.27
배추김치,38,1.98,0.43,6.49
백김치,16,0.95,0.07,3.0
부추김치,71,3.03,2.83,8.42
열무김치,36,2.39,0.38,5.87
오이소박이,37,1.76,0.37,6.66
오이소박이,37,1.93,0.59,5.92
총각김치,42,1.92,0.29,7.89
파김치,49,2.5,0.58,8.51
식혜,87,1.53,1.75,16.21
쫄면,132,3.93,1.05,26.2
삼계탕,88,7.42,3.75,5.64
곱창전골,47,3.57,2.61,2.66
동태찌개,25,3.25,0.51,2.05
꼬막찜,30,4.01,0.54,2.19
갈치구이,147,12.65,9.81,0.88
고등어구이,142,9.51,9.99,2.69
더덕구이,108,1.86,2.14,22.34
감자전,93,1.98,3.24,13.75
김치전,122,3.03,3.1,19.35
호박전,84,2.18,5.27,6.78
오징어채볶음,164,25.48,3.41,6.56
감자조림,66,1.58,0.85,13.29
연근조림,71,1.54,1.04,14.28
잔치국수,67,2.35,0.83,12.19
쫄면,107,2.79,0.98,21.6
호박죽,71,1.39,0.28,16.08
갈비탕,39,2.19,2.13,2.71
삼계탕,77,6.7,3.17,5.0
감자탕,51,3.39,2.61,3.87
추어탕,30,3.09,1.05,2.28
갈치구이,127,9.83,7.36,4.3
고등어구이,202,13.37,13.22,6.25
호박전,142,3.53,8.53,12.25
두부조림,133,9.39,6.87,8.15
연근조림,76,1.32,0.98,15.97
우엉조림,104,3.69,2.98,16.51
잔치국수,66,2.34,0.9,11.84
쫄면,113,3.23,0.71,23.35
삼계탕,80,7.32,3.85,3.54
감자탕,65,4.59,3.34,4.5
추어탕,26,2.65,0.77,2.36
갈치구이,117,9.59,6.95,3.05
고등어구이,176,12.28,11.84,3.9
호박전,126,3.5,6.98,12.12
오징어채볶음,54,6.23,1.6,3.43
두부조림,138,10.51,6.73,8.66
연근조림,185,5.0,6.46,28.37
우엉조림,120,3.76,4.88,16.45
잔치국수,63,1.99,0.55,12.03
쫄면,121,3.44,0.8,24.73
무국,7,0.26,0.17,1.28
감자탕,67,4.66,3.96,3.37
갈치구이,123,9.35,7.32,3.96
고등어구이,179,12.71,12.18,3.6
두부조림,142,11.5,6.18,10.26
연근조림,76,1.6,0.74,16.09
우엉조림,88,2.71,1.05,17.89
